team,match,win,loss,score
G-1,0,0,0,0
G-2,0,0,0,0
G-3,0,0,0,0
G-4,0,0,0,0
G-5,0,0,0,0
G-6,0,0,0,0
G-7,0,0,0,0
G-8,0,0,0,0
G-9,0,0,0,0
G-10,0,0,0,0
G-11,0,0,0,0
G-12,0,0,0,0
G-13,0,0,0,0
